"filename", "language", "Markdown", "Makefile", "Go Module File", "YAML", "Go Checksum File", "Go", "MS SQL", "comment", "blank", "total"
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\repository\postgres\get_task.go", "Go", 0, 0, 0, 0, 0, 45, 0, 0, 11, 56
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\repository\postgres\get_tasks.go", "Go", 0, 0, 0, 0, 0, 62, 0, 0, 14, 76
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\repository\postgres\models.go", "Go", 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\repository\postgres\patch_task.go", "Go", 0, 0, 0, 0, 0, 69, 0, 0, 13, 82
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\repository\postgres\repository.go", "Go", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\service\create_task.go", "Go", 0, 0, 0, 0, 0, 25, 0, 3, 4, 32
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\service\delete_task.go", "Go", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\service\get_task.go", "Go", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\service\get_tasks.go", "Go", 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\service\patch_task.go", "Go", 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\service\service.go", "Go", 0, 0, 0, 0, 0, 40, 0, 2, 10, 52
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\create_task.go", "Go", 0, 0, 0, 0, 0, 42, 0, 1, 13, 56
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\delete_task.go", "Go", 0, 0, 0, 0, 0, 28, 0, 1, 8, 37
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\dto_common.go", "Go", 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\get_task.go", "Go", 0, 0, 0, 0, 0, 31, 0, 0, 10, 41
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\get_tasks.go", "Go", 0, 0, 0, 0, 0, 52, 0, 4, 15, 71
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\patch_task.go", "Go", 0, 0, 0, 0, 0, 80, 0, 2, 19, 101
"d:\ilyap\GoProjects\golang-todoapp\internal\features\tasks\transport\http\transport.go", "Go", 0, 0, 0, 0, 0, 71, 0, 0, 11, 82
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\create_user.go", "Go", 0, 0, 0, 0, 0, 36, 0, 0, 10, 46
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\delete_user.go", "Go", 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\get_user.go", "Go", 0, 0, 0, 0, 0, 46, 0, 0, 11, 57
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\get_users.go", "Go", 0, 0, 0, 0, 0, 53, 0, 0, 10, 63
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\models.go", "Go", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\patch_user.go", "Go", 0, 0, 0, 0, 0, 62, 0, 0, 10, 72
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\repository\postgres\repository.go", "Go", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\service\create_user.go", "Go", 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\service\delete_user.go", "Go", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\service\get_user.go", "Go", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\service\get_users.go", "Go", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\service\patch_user.go", "Go", 0, 0, 0, 0, 0, 24, 0, 3, 4, 31
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\service\service.go", "Go", 0, 0, 0, 0, 0, 39, 0, 0, 10, 49
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\create_user.go", "Go", 0, 0, 0, 0, 0, 34, 0, 4, 14, 52
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\delete_user.go", "Go", 0, 0, 0, 0, 0, 28, 0, 2, 10, 40
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\dto_common.go", "Go", 0, 0, 0, 0, 0, 23, 0, 2, 6, 31
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\get_user.go", "Go", 0, 0, 0, 0, 0, 31, 0, 1, 10, 42
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\get_users.go", "Go", 0, 0, 0, 0, 0, 47, 0, 0, 14, 61
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\patch_user.go", "Go", 0, 0, 0, 0, 0, 77, 0, 5, 18, 100
"d:\ilyap\GoProjects\golang-todoapp\internal\features\users\transport\http\transport.go", "Go", 0, 0, 0, 0, 0, 70, 0, 3, 11, 84
"d:\ilyap\GoProjects\golang-todoapp\migrations\000001_init.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\ilyap\GoProjects\golang-todoapp\migrations\000001_init.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"Total", "-", 1, 124, 23, 21, 54, 3023, 23, 146, 755, 4170
